CL,Input Transtions,tpdf,tpdr
1,0.1,2.46465000e-11,6.01750300e-11
1,0.25,2.92083300e-11,9.17816400e-11
1,0.5,2.88041200e-11,1.24885400e-10
1,0.75,2.40232100e-11,1.48928100e-10
1,1,1.68491300e-11,1.68382900e-10
1,1.25,8.26386700e-12,1.85363300e-10
1,1.5,-1.47419000e-12,2.00978400e-10
3,0.1,2.81941800e-11,6.42762700e-11
3,0.25,3.60108100e-11,9.97298400e-11
3,0.5,3.88328700e-11,1.38142700e-10
3,0.75,3.66589700e-11,1.66355700e-10
3,1,3.16949500e-11,1.89423900e-10
3,1.25,2.49909900e-11,2.09584000e-10
3,1.5,1.71397100e-11,2.27942700e-10
5,0.1,3.18813400e-11,6.92896200e-11
5,0.25,4.17810500e-11,1.06838100e-10
5,0.5,4.72451800e-11,1.49348000e-10
5,0.75,4.71948200e-11,1.81153700e-10
5,1,4.40586400e-11,2.07272100e-10
5,1.25,3.90338700e-11,2.30102100e-10
5,1.5,3.27244100e-11,2.50792200e-10
7,0.1,3.51400600e-11,7.31805200e-11
7,0.25,4.69749000e-11,1.13225700e-10
7,0.5,5.46679600e-11,1.59209700e-10
7,0.75,5.63807300e-11,1.94073300e-10
7,1,5.48630100e-11,2.22927600e-10
7,1.25,5.12533200e-11,2.48104800e-10
7,1.5,4.62418500e-11,2.70911000e-10
9,0.1,3.77231400e-11,7.75449200e-11
9,0.25,5.14735500e-11,1.18688400e-10
9,0.5,6.13096000e-11,1.68095800e-10
9,0.75,6.46380800e-11,2.05706800e-10
9,1,6.45913800e-11,2.36995100e-10
9,1.25,6.22671900e-11,2.64304300e-10
9,1.5,5.84276200e-11,2.89033000e-10
11,0.1,4.02801300e-11,8.16608500e-11
11,0.25,5.56986600e-11,1.23874500e-10
11,0.5,6.73439700e-11,1.76240200e-10
11,0.75,7.22179700e-11,2.16335000e-10
11,1,7.35099700e-11,2.49815700e-10
11,1.25,7.23488500e-11,2.79144800e-10
11,1.5,6.95790400e-11,3.05636000e-10
13,0.1,4.27908000e-11,8.57062200e-11
13,0.25,5.96073100e-11,1.28502800e-10
13,0.5,7.30692000e-11,1.83747100e-10
13,0.75,7.92879200e-11,2.26155500e-10
13,1,8.17450900e-11,2.61681200e-10
13,1.25,8.16870200e-11,2.92814100e-10
13,1.5,7.99057200e-11,3.20940700e-10
15,0.1,4.49000200e-11,8.99847700e-11
15,0.25,6.31761900e-11,1.32893900e-10
15,0.5,7.82618700e-11,1.90752200e-10
15,0.75,8.58564100e-11,2.35314900e-10
15,1,8.94240400e-11,2.72747400e-10
15,1.25,9.04269800e-11,3.05571800e-10
15,1.5,8.95599300e-11,3.35280500e-10
